раздел,счетоводен_ред,Q1 2022 (3М),Q2 2022 (6М),Q3 2022 (9М),Q4 2022 (12М),Q1 2023 (3М),Q2 2023 (6М),Q3 2023 (9М),Q4 2023 (12М),Q1 2024 (3М),Q2 2024 (6М),Q3 2024 (9М),Q4 2024 (12М),Q1 2025 (3М),Q2 2025 (6М),Q3 2025 (9М),Q4 2025 (12М),Q1 2026 (3М),Q2 2026 (6М),Q3 2026 (9М),Q4 2026 (12М)
Приходи и разходи,Печалба преди данъци (EBT),7700,15512,23725,24887,15802,23040,28693,57394,28671,52869,78578,132318,56758,103730,148357,227912,106136,,,
Приходи и разходи,Разход за данъци,-1694,-3412,-5218,-5579,-3358,-4959,-6231,-12435,-5994,-11273,-16663,-27654,-11767,-21622,-31005,-47669,-22230,,,
Приходи и разходи,Нетна печалба от продължаващи дейности,,,,,12443,18081,22461,44959,22677,41596,61915,104664,44991,82108,117352,180243,83906,,,
Приходи и разходи,Печалба от преустановени дейности,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Приходи и разходи,Нетна печалба,6006,12100,18507,19308,12443,18081,22461,44959,22677,41596,61915,104664,44991,82108,117352,180243,83906,,,
Приходи и разходи,Друг всеобхватен доход (OCI) — общо,,,,,-259,-74,-45,-414,12,168,-499,-343,-619,-772,-765,-1808,2980,,,
Приходи и разходи,Общо всеобхватен доход,,,,,12184,18007,22416,44545,22689,41764,61416,104321,44372,81336,116587,178435,86886,,,
Приходи и разходи,"Нетен доход на акция (EPS, лв.)",0.56,1.13,1.73,1.8,1.16,1.69,2.07,4.11,2.03,3.72,5.54,9.36,4.02,7.35,10.5,16.12,7.51,,,
Активи,"Имоти, машини и съоръжения",,,,,32936,34138,34714,33599,32604,32115,31131,36213,34950,37876,40696,42998,46993,,,
Активи,Нематериални активи,,,,,178883,195585,204683,218497,231863,247508,258950,269262,284593,297143,307872,323642,336365,,,
Активи,Активи с право на ползване,,,,,59407,56218,53241,52582,51102,48127,44083,42118,48138,54865,49291,97289,106150,,,
Активи,Репутация,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Активи,Инвестиции в асоциирани дружества,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Активи,Активи по отсрочени данъци,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1041,,,
Активи,Общо нетекущи активи,22050,22050,22050,24675,273388,288230,294517,306075,317363,329669,336114,349742,369910,392638,400608,467295,492361,,,
Активи,Материални запаси,10455,12075,13950,15590,167418,176278,175937,159106,160104,163511,167285,164931,167331,186476,215642,237184,241754,,,
Активи,Търговски вземания,21225,24825,28725,31515,88481,95674,138032,137371,132259,131711,168775,183955,203014,191892,205699,257995,280466,,,
Активи,Други вземания,1155,1325,1475,1650,,,,,,,,,,,,,,,,
Активи,Пари и парични еквиваленти,1130,10730,10730,10730,23470,26519,10669,21365,20366,31485,21762,43825,62290,78464,95315,92303,146312,,,
Активи,Общо текущи активи,33965,49080,54880,63590,279369,298472,324639,317842,312729,326707,357821,392711,432635,456832,516656,587483,668531,,,
Активи,ОБЩО АКТИВИ,56015,71130,76930,88265,552757,586702,619156,623917,630091,656376,693935,742454,802544,849470,917264,1054778,1160891,,,
Пасиви,Задължения по лизинг (дългосрочни),4475,4475,4475,4475,34493,32074,29605,28867,24995,21408,16043,15823,21764,29118,26497,60525,66777,,,
Пасиви,Дългосрочни задължения към персонала,,,,,,,,,,,,,,,,,,,,
Пасиви,Общо нетекущи пасиви,4475,4475,4475,4475,34493,32074,29605,28867,24995,21408,16043,15823,21764,29118,26497,60525,66777,,,
Пасиви,Банкови заеми,300,300,300,300,,,,,,,,,,,,,,,,
Пасиви,Задължения по лизинг (краткосрочни),,,,,,,,,,,,,,,,,,,,
Пасиви,Търговски задължения,8085,9450,10830,12075,,,,,,,,,,,,,,,,
Пасиви,Задължения към персонала и осигуряването,,,,,,,,,,,,,,,,,,,,
Пасиви,Други задължения,3565,3955,4225,4605,,,,,,,,,,,,,,,,
Пасиви,Общо текущи пасиви,11950,13705,15355,16680,148527,138526,166641,150033,137406,148203,171498,177367,187150,189761,224925,266562,279545,,,
Пасиви,ОБЩО ПАСИВИ,16425,18180,19830,21155,183020,170600,196246,178900,162400,169611,187541,193190,208914,218879,251422,327087,346322,,,
Собствен капитал,Регистриран акционерен капитал,5978,5978,5978,5978,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,,,
Собствен капитал,Неразпределена печалба,33612,46972,51122,61132,,,,,,,,251283,291953,333390,368635,431527,515433,,,
Собствен капитал,Законови резерви,,,,,,,,,,,,,,,,,,,,
Собствен капитал,Премиен резерв,,,,,,,,,,,,,,,,,,,,
Собствен капитал,Валутно-курсови разлики,,,,,,,,,,,,,,,,,,,,
Собствен капитал,ОБЩО СОБСТВЕН КАПИТАЛ,39590,52950,57100,67110,369737,416101,422910,445017,467691,486765,506394,549264,593630,630591,665842,727691,814569,,,
Парични потоци,Постъпления от клиенти,,,,,,,,,,,,,,,,,,,,
Парични потоци,Плащания към доставчици,,,,,,,,,,,,,,,,,,,,
Парични потоци,"Данъци възстановени/(платени), нето",,,,,,,,,,,,,,,,,,,,
Парични потоци,Плащания към персонал и осигуряване,,,,,,,,,,,,,,,,,,,,
Парични потоци,Нетни парични потоци от оперативна дейност,8000,16100,24600,28900,14045,7326,-9713,51478,27396,70182,89837,145014,53084,106034,159646,200345,93689,,,
Парични потоци,Капиталови разходи (CAPEX),-1200,-2400,-3675,-4900,-27890,-53305,-71856,-93929,-22636,-48702,-71167,-97338,-27588,-57117,-86191,-120175,-33302,,,
Парични потоци,Нетни парични потоци от инвестиционна дейност,-1200,-2400,-3675,-4900,-27886,-53301,-71320,-93439,-22642,-48709,-71171,-97830,-27418,-56948,-86024,-120529,-33302,,,
Парични потоци,Изплатени дивиденти,-3000,-3000,-3000,-3000,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Парични потоци,Нетни парични потоци от финансова дейност,-3550,-4100,-4658,-18485,-5621,29205,48268,20063,-5727,-11261,-17177,-23286,-6662,-13352,-20626,-28503,-8670,,,
Парични потоци,Пари в началото на периода,1130,1130,-5537,5215,43012,43012,43012,43012,21365,21365,21365,21365,43825,43825,43825,43825,92303,,,
Парични потоци,Пари в края на периода,1130,10730,10730,10730,23470,26519,10669,21365,20366,31485,21762,43825,62290,78464,95315,92303,146312,,,
